FID,E_NAD83,N_NAD83,ELEV,TYPE
10000;557581.682;6835086.896;568.525;GRID,,,,
10001;557590.843;6835070.135;568.04;GRID,,,,
10002;557599.726;6835053.831;567.655;GRID,,,,
10003;557610.178;6835034.176;567.478;GRID,,,,
10004;557618.685;6835018.579;567.411;GRID,,,,
10005;557628.303;6835001.16;567.376;GRID,,,,
10006;557638.951;6834981.912;567.013;GRID,,,,
10007;557648.269;6834965.272;566.605;GRID,,,,
10008;557657.82;6834947.055;565.908;GRID,,,,
10009;557667.266;6834929.263;565.47;GRID,,,,
10010;557676.417;6834912.222;565.159;GRID,,,,
10011;557686.006;6834894.566;564.962;GRID,,,,
10012;557695.766;6834876.34;564.888;GRID,,,,
10013;557705.132;6834858.687;564.949;GRID,,,,
10014;557714.606;6834841.04;565.084;GRID,,,,
10015;557723.7;6834824.207;565.222;GRID,,,,
10016;557708.085;6834815.427;565.407;GRID,,,,
10017;557698.955;6834831.674;565.148;GRID,,,,
10018;557689.869;6834848.489;565.045;GRID,,,,
10019;557679.073;6834868.046;564.892;GRID,,,,
10020;557669.971;6834884.956;564.961;GRID,,,,
10021;557660.025;6834903.072;565.076;GRID,,,,
10022;557650.725;6834920.082;565.259;GRID,,,,
10023;557641.676;6834936.702;565.531;GRID,,,,
10024;557631.048;6834956.021;566.153;GRID,,,,
10025;557621.062;6834974.047;566.689;GRID,,,,
10026;557611.495;6834992.01;566.955;GRID,,,,
10027;557602.143;6835009.1;566.941;GRID,,,,
10028;557593.06;6835025.542;567.161;GRID,,,,
10029;557583.738;6835041.896;567.372;GRID,,,,
10030;557572.84;6835062.295;567.89;GRID,,,,
10031;557564.092;6835078.627;568.338;GRID,,,,
10032;557545.687;6835069.47;568.183;GRID,,,,
10033;557553.794;6835054.534;567.653;GRID,,,,
10034;557563.745;6835036.411;567.185;GRID,,,,
10035;557573.561;6835018.393;566.92;GRID,,,,
10036;557583.513;6834999.879;566.719;GRID,,,,
10037;557591.979;6834984.453;566.563;GRID,,,,
10038;557602.202;6834965.622;566.206;GRID,,,,
10039;557611.995;6834947.687;565.851;GRID,,,,
10040;557621.826;6834929.769;565.417;GRID,,,,
10041;557632.568;6834910.425;565.092;GRID,,,,
10042;557641.629;6834893.73;564.947;GRID,,,,
10043;557651.062;6834877.1;564.995;GRID,,,,
10044;557660.823;6834859.589;564.828;GRID,,,,
10045;557670.177;6834842.31;564.899;GRID,,,,
10046;557679.757;6834824.79;565.039;GRID,,,,
10047;557690.447;6834805.798;565.367;GRID,,,,
10048;557668.589;6834793.773;565.506;GRID,,,,
10049;557659.438;6834810.749;565.06;GRID,,,,
10050;557649.014;6834829.977;564.924;GRID,,,,
10051;557639.007;6834849.022;564.869;GRID,,,,
10052;557630.826;6834864.034;564.887;GRID,,,,
10053;557621.503;6834881.41;564.895;GRID,,,,
10054;557611.895;6834899.075;565.02;GRID,,,,
10055;557602.106;6834917.252;565.273;GRID,,,,
10056;557592.714;6834934.55;565.545;GRID,,,,
10057;557581.919;6834954.655;565.87;GRID,,,,
10058;557572.544;6834972.084;566.142;GRID,,,,
10059;557563.465;6834988.789;566.277;GRID,,,,
10060;557553.243;6835007.608;566.607;GRID,,,,
10061;557545.594;6835021.963;566.883;GRID,,,,
10062;557535.104;6835041.156;567.372;GRID,,,,
10063;557525.167;6835059.765;568.055;GRID,,,,
10064;557507.735;6835051.92;567.95;GRID,,,,
10065;557516.808;6835034.728;567.329;GRID,,,,
10066;557525.926;6835016.579;566.842;GRID,,,,
10067;557535.489;6834997.816;566.401;GRID,,,,
10068;557544.885;6834979.517;566.038;GRID,,,,
10069;557553.744;6834962.424;565.848;GRID,,,,
10070;557563.605;6834943.355;565.565;GRID,,,,
10071;557572.917;6834924.733;565.418;GRID,,,,
10072;557581.81;6834907.493;565.183;GRID,,,,
10073;557592.069;6834887.787;565.122;GRID,,,,
10074;557600.89;6834870.627;564.855;GRID,,,,
10075;557609.95;6834852.934;564.939;GRID,,,,
10076;557617.934;6834837.517;564.959;GRID,,,,
10077;557628.02;6834817.861;565.073;GRID,,,,
10078;557635.917;6834802.05;565.184;GRID,,,,
10079;557645.955;6834782.337;565.481;GRID,,,,
10080;557633.815;6834775.382;565.563;GRID,,,,
10081;557624.45;6834791.978;565.212;GRID,,,,
10082;557614.223;6834810.321;565.066;GRID,,,,
10083;557604.523;6834827.948;564.991;GRID,,,,
10084;557594.921;6834845.303;565.072;GRID,,,,
10085;557585.835;6834862.013;564.925;GRID,,,,
10086;557576.255;6834879.399;564.956;GRID,,,,
10087;557566.767;6834897.009;565.079;GRID,,,,
10088;557556.784;6834914.952;565.143;GRID,,,,
10089;557546.981;6834932.708;565.457;GRID,,,,
10090;557537.383;6834950.317;565.694;GRID,,,,
10091;557526.961;6834969.315;565.87;GRID,,,,
10092;557518.118;6834985.599;566.185;GRID,,,,
10093;557508.397;6835003.324;566.485;GRID,,,,
10094;557498.656;6835021.226;566.966;GRID,,,,
10095;557487.769;6835041.205;567.769;GRID,,,,
10096;557618.958;6834768.896;566.17;GRID,,,,
10097;557609.397;6834785.981;565.727;GRID,,,,
10098;557599.709;6834803.851;565.744;GRID,,,,
10099;557589.954;6834821.543;565.499;GRID,,,,
10100;557581.608;6834837.159;565.441;GRID,,,,
10102;557570.471;6834856.142;565.395;GRID,,,,
10103;557560.856;6834874.202;565.565;GRID,,,,
10104;557551.25;6834891.379;565.782;GRID,,,,
10105;557541.523;6834908.858;565.631;GRID,,,,
10106;557532.203;6834926.218;565.928;GRID,,,,
10107;557521.957;6834944.307;566.064;GRID,,,,
10108;557512.912;6834961.11;566.403;GRID,,,,
10109;557502.594;6834979.137;566.656;GRID,,,,
10111;557492.888;6834996.76;567.014;GRID,,,,
10113;557483.76;6835013.73;567.568;GRID,,,,
10114;557473.466;6835031.923;568.26;GRID,,,,
10115;557456.084;6835021.741;568.039;GRID,,,,
10116;557465.876;6835004.348;567.299;GRID,,,,
10117;557475.824;6834986.715;566.785;GRID,,,,
10118;557485.741;6834969.118;566.502;GRID,,,,
10119;557495.495;6834951.755;566.093;GRID,,,,
10120;557505.016;6834935.094;566.156;GRID,,,,
10121;557514.482;6834916.385;565.569;GRID,,,,
10122;557523.738;6834899.573;565.778;GRID,,,,
10123;557533.636;6834881.987;565.649;GRID,,,,
10124;557543.993;6834864.548;565.685;GRID,,,,
10125;557552.982;6834846.948;565.404;GRID,,,,
10126;557562.853;6834828.954;565.264;GRID,,,,
10127;557572.346;6834812.154;565.572;GRID,,,,
10128;557582.422;6834794.36;565.548;GRID,,,,
10129;557592.126;6834776.769;565.962;GRID,,,,
10130;557601.69;6834759.347;566.203;GRID,,,,
